name,title,sex,Date of Birth,Staff No,Qualification With Date (Indicate Discipline),Designation,GL,Date of 1st Appt.,Date of Conf.,Date of Last Promotion,LGA,State of Origin
Lucienne Goady,Mr,Female,05/11/2001,79-5202888,Lynchburg College,13,17,01/10/2001,12/06/2005,01/09/2014,El Paso,Texas
Ogdan Kearn,Ms,Male,05/01/1987,40-9806571,Matsusaka University,5,14,26/05/2012,12/11/2001,16/10/2006,College Station,Texas
Bjorn Rountree,Rev,Male,21/06/1977,06-4296534,Universidad Pedagógica y Tecnológica de Colombia,6,15,10/11/2015,02/03/2005,31/05/2006,Peoria,Illinois
Harriot Genthner,Mrs,Female,25/10/1967,64-4791825,Zawiya University,4,8,29/11/2016,26/05/2009,04/06/2003,Toledo,Ohio
Claus Crippill,Mrs,Male,25/03/2000,04-0737318,Shepherd College,6,3,26/08/2017,25/03/2010,27/08/2009,Columbus,Georgia
Janessa Crate,Honorable,Female,16/10/2010,38-4026099,Angelo State University,8,15,27/04/2018,08/09/2009,10/11/2006,Cleveland,Ohio
Martica Vel,Dr,Female,22/02/1982,74-0085992,University of Applied Science and Technology,17,15,27/07/2006,09/01/2005,21/06/2008,Brooklyn,New York
Shalne Casse,Dr,Female,22/10/2007,84-9073103,Pontificia Universidad Javeriana,10,6,13/11/2012,20/12/2008,22/12/2013,North Hollywood,California
Zorina Nussii,Rev,Female,31/03/2018,58-4264682,Universität Hamburg,3,14,11/08/2006,17/06/2009,02/12/2011,Richmond,Virginia
Fitz Braunle,Dr,Male,11/01/2003,60-1377440,Free International University of Moldova,7,13,05/12/2011,11/08/2003,03/10/2001,Pasadena,California
Gabby Ruggen,Mrs,Male,10/01/2004,33-6322760,Sri Padmavati Women's University,11,4,23/03/2006,23/06/2004,20/05/2008,Peoria,Illinois
Abbi Spearman,Dr,Female,08/05/1968,73-7596830,Universidad Simón Bolivar,14,9,10/01/2012,06/02/2011,23/08/2016,Memphis,Tennessee
Morten La Batie,Dr,Male,15/06/1988,17-6006085,Université Paris Nanterre (Paris X),16,12,29/03/2001,01/10/2013,28/02/2010,Aurora,Illinois
Patin Borrett,Mr,Male,20/10/1973,90-4929523,Mar Athanasios College for Advanced Studies,11,15,24/06/2006,08/04/2017,19/05/2013,Chicago,Illinois
Sarene Drabble,Honorable,Female,04/04/1973,02-3280137,"Fachhochschule Mannheim, Hochschule für Sozialwesen",9,14,23/10/2008,16/07/2006,06/01/2017,Austin,Texas
Nicolais Borrington,Dr,Male,06/02/2018,59-8483064,Al Mamon University College,11,15,05/05/2001,02/06/2003,06/09/2001,West Palm Beach,Florida
Nefen Date,Mrs,Male,03/06/1963,96-0452853,Solapur University,7,14,23/11/2005,01/12/2004,05/10/2015,Nashville,Tennessee
Theresa Lambillion,Mrs,Female,03/10/1988,34-6739962,Al-Aqsa University,11,16,13/03/2005,01/04/2004,30/04/2004,Charlotte,North Carolina
See Mattingley,Dr,Male,19/11/1984,88-5292174,University of Hargeisa,7,10,07/07/2012,16/03/2017,16/01/2014,Washington,District of Columbia
Ramsay Clementet,Mrs,Male,04/02/2007,15-1569064,Riga Teacher Training and Educational Management Academy,4,10,03/12/2003,21/02/2008,11/08/2007,Santa Monica,California
Rand McMakin,Mrs,Male,12/08/1979,88-0529739,Penang International Dental College,6,3,17/09/2010,08/10/2006,21/04/2004,Jacksonville,Florida
Desmond Fairlem,Mr,Male,14/08/2018,67-8967449,Tata Institute of Social Sciences,3,6,15/09/2013,09/05/2005,01/12/2010,New York City,New York
Ed Roantree,Rev,Male,29/07/1967,96-3066080,Ecole National d'Agriculture de Meknes,15,15,08/02/2017,10/11/2010,09/03/2007,Odessa,Texas
Cherrita Dansey,Mr,Female,21/02/1982,40-4289538,Tshwane University of Technology,16,14,30/05/2003,02/11/2004,17/07/2018,Boston,Massachusetts
Heddie Farebrother,Mr,Female,06/08/1990,97-0230323,University of Calicut,3,5,14/03/2017,29/06/2009,12/10/2018,Sacramento,California
Margarita Papes,Rev,Female,13/02/2012,06-4921934,"Universidad Interamericana de Puerto Rico, San Germán",5,10,23/07/2007,06/11/2001,06/11/2006,Richmond,Virginia
Cairistiona Debrett,Rev,Female,01/12/1964,52-6002344,Vassar College,11,3,01/08/2007,04/11/2015,23/11/2016,El Paso,Texas
Kenneth Nare,Dr,Male,07/11/1993,70-3721118,Tafila Technical University ,9,9,13/07/2006,01/05/2018,15/12/2016,Duluth,Georgia
Alleen Van Leijs,Ms,Female,12/02/1976,91-5295047,Kansai University of Social Welfare,11,12,25/06/2004,25/04/2010,12/09/2013,Omaha,Nebraska
John Yurocjkin,Ms,Male,06/01/1992,70-7007154,Bennett College,3,12,09/02/2015,23/02/2010,30/01/2015,Indianapolis,Indiana
Rodrigo Chevis,Rev,Male,09/10/2013,30-9682437,Universidad Abierta Para Adultos,15,14,19/11/2005,16/08/2002,27/08/2017,Washington,District of Columbia
Tynan Danilyuk,Honorable,Male,27/04/1971,73-9020309,Agnes Scott College,7,7,30/07/2003,09/02/2001,02/02/2015,Fargo,North Dakota
Jodi Addams,Honorable,Female,02/05/1988,72-8261820,Academy of Economics in Wroclaw,14,6,12/06/2016,29/01/2001,04/05/2018,Clearwater,Florida
